,ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,gender
360,AUS000002000375,AUS,3.9,8.3,0,12,0,30.7,26.9,57.6,24.2,2.7,15.9,0,18.6,8.066666667,2.069230769,13,bab,3,1,1,2
361,AUS000015402900,AUS,8,7.1,0,0,0,11.6,16.1,27.7,15.1,1,8,0,9,7.55,2.0125,8,ab,2,1,1,1
362,AUS000035506587,AUS,27.7,5.3,0,12,0,8.4,48.5,56.9,45,3.5,39.7,0,43.2,11.25,2.852941176,17,abab,4,1,1,1
363,AUS000035506596,AUS,8.6,5.1,0,8.2,0,13.9,36.5,50.4,21.9,14.6,16.8,0,31.4,5.475,1.403846154,26,abab,4,1,1,2
364,AUS000075114056,AUS,5.9,0,10.2,19.1,0,20.7,36.6,57.3,35.2,1.4,25,6.2,46.8,11.73333333,2.44,15,bab,3,1,1,1
365,AUS000075114047,AUS,11.4,3.9,0,12,0,20.2,31.4,51.6,27.3,4.1,23.4,0,27.5,6.825,1.847058824,17,abab,4,1,1,1
366,AUS000065512249,AUS,8.7,4.3,0,0,0,11.1,14.3,25.4,13,1.3,8.7,0,10,6.5,1.7875,8,ab,2,1,1,2
367,AUS000065512253,AUS,10.7,4.3,0,0,0,10.7,16.4,27.1,15,1.4,10.7,0,12.1,7.5,2.05,8,ab,2,1,1,2
368,AUS000065512242,AUS,16.3,9.5,0,14.8,0,43.1,43.1,86.2,40.6,2.5,31.1,0,33.6,13.53333333,3.315384615,13,bab,3,1,1,1
369,AUS000002900558,AUS,19.5,12.4,0,0,0,13,35.6,48.6,31.9,3.7,19.5,0,23.2,15.95,4.45,8,ab,2,1,1,2
370,AUS000002900556,AUS,4.7,5.6,0,11.7,0,15.4,25.7,41.1,22,3.7,16.4,0,20.1,7.333333333,1.976923077,13,bab,3,1,1,1
371,AUS000002900557,AUS,8.1,20.6,0,0,0,26.7,30,56.7,28.7,1.3,8.1,0,9.4,14.35,3.75,8,ab,2,1,1,2
372,AUS000051809623,AUS,23.1,16.5,0,0,25.3,15.5,68.1,83.6,64.9,3.2,48.4,5.7,51.6,16.225,3.584210526,19,abab,4,1,1,2
373,AUS000051809632,AUS,41.1,6.9,0,16.6,0,26.1,68.7,94.8,64.6,4.1,57.7,0,61.8,16.15,4.041176471,17,abab,4,1,1,2
374,AUS000026804980,AUS,5.1,8,0,11.8,0,23,26.9,49.9,24.9,2,16.9,0,18.9,8.3,2.069230769,13,bab,3,1,1,1
375,AUS000030505688,AUS,17.3,3.6,0,19.7,0,9.8,43.2,53,40.6,2.6,37,0,39.6,13.53333333,3.323076923,13,bab,3,1,1,1
376,AUS000030505687,AUS,26.6,6.6,0,8.9,0,11.3,45.8,57.1,42.1,3.7,35.5,0,39.2,10.525,2.694117647,17,abab,4,1,1,2
