ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,ratio,mean,weight,gender
ARE000000300058,ARE,20.8,11.9,0,0,0,21.6,33.9,55.5,32.7,1.2,20.8,0,22,16.35,4.2375,8,ab,2,1,0,0.87,477.1428571,10304.28294,1
ARE000000300059,ARE,17.3,8.5,0,0,0,19.3,27.9,47.2,25.8,2.1,17.3,0,19.4,12.9,3.4875,8,ab,2,1,0,0.84,515.7,10061.34671,2
ARE000041710497,ARE,6.1,15.4,0,21.5,0,28.4,48.2,76.6,43,5.2,27.6,0,32.8,14.33333333,3.707692308,13,bab,3,1,0,0.64,391.8,7644.048173,1
ARE000019404949,ARE,2.8,4.2,0,18.6,0,16.2,41.7,57.9,25.6,16.1,21.4,0,37.5,6.4,1.303125,32,babb,4,1,0,0.65,397.3,7751.353597,1
ARE000004000994,ARE,13.7,14.2,0,0,0,23.3,72.8,96.1,27.9,44.9,13.7,0,58.6,13.95,6.066666667,12,ab,2,1,0,0.79,434.2380952,9377.720171,1
ARE000021705552,ARE,32.9,0,17.7,0,0,16.7,55.7,72.4,50.6,5.1,32.9,4.1,73.4,25.3,4.641666667,12,ab,2,1,0,0.51,315,6098.707317,1
ARE000036909315,ARE,104.2,5.5,0,0,0,11.9,155.5,167.4,109.7,45.8,104.2,0,150,13.7125,3.455555556,45,aaaaaaab,8,1,0,0.55,333.9,6514.414714,1
ARE000016704216,ARE,1.8,16.1,0,13.5,0,25.3,99.2,124.5,31.4,67.8,15.3,0,83.1,7.85,2.306976744,43,bbab,4,1,0,0.72,400.35,8534.616638,1
ARE000001300304,ARE,28.5,5.9,0,12.1,0,12.3,65.3,77.6,46.5,18.8,40.6,0,59.4,11.625,2.968181818,22,abab,4,1,0,0.55,337.6,6586.601999,1
ARE000025406461,ARE,18.1,17,0,7.5,0,20.7,70.1,90.8,42.6,27.5,25.6,0,53.1,14.2,3.186363636,22,abb,3,1,0,0.75,414.4761905,8950.945977,1
ARE000025406483,ARE,4.6,5.5,0,22,0,17.1,33.5,50.6,32.1,1.4,26.6,0,28,10.7,2.576923077,13,bab,3,1,0,0.61,348.2857143,7313.87715,1
ARE000023105923,ARE,28.6,0,37.2,0,0,22.3,68,90.3,65.8,2.2,28.6,21.5,105.2,32.9,7.555555556,9,ab,2,1,0,0.75,458.9,8953.17434,1
ARE000036109084,ARE,4.2,4.2,0,21.6,0,18.2,37.1,55.3,30,7.1,25.8,0,32.9,10,2.853846154,13,bab,3,1,0,0.65,393.8,7683.068327,1
ARE000035909041,ARE,56.3,0,9.4,0,0,17.8,66.8,84.6,65.7,1.1,56.3,3.6,76.2,32.85,7.422222222,9,ab,2,1,0,0.64,391.5,7638.19515,1
ARE000011702941,ARE,16,15.8,0,0,0,14.4,34.4,48.8,31.8,2.6,16,0,18.6,15.9,4.3,8,ab,2,1,0,0.61,336.4761905,7266.473377,2
ARE000012203031,ARE,15.9,21.8,0,0,44.1,11.8,107.9,119.7,81.8,26.1,60,13.5,86.1,27.26666667,4.316,25,bab,3,1,0,0.47,282,5652.937141,2
ARE000021505489,ARE,17,12,0,0,0,3.1,34.9,38,29,5.9,17,0,22.9,14.5,4.3625,8,ab,2,1,0,0.32,196.5,3833.730133,2
ARE000021505479,ARE,42,10.7,0,0,0,18.8,71.3,90.1,52.7,18.6,42,0,60.6,26.35,6.481818182,11,ab,2,1,0,0.26,143,3088.199767,2
ARE000025106390,ARE,22.6,11.1,0,0,0,33.7,57.8,91.5,33.7,24.1,22.6,0,46.7,11.23333333,3.4,17,aab,3,1,0,0.59,326.9473684,7006.970756,2
ARE000038709753,ARE,25,4.6,0,13.4,0,60.7,46.4,107.1,43,3.4,38.4,0,41.8,14.33333333,3.093333333,15,abb,3,1,0,0.61,348.2857143,7313.87715,2
ARE000019705047,ARE,15.5,9.3,0,0,0,23.1,26.3,49.4,24.8,1.5,15.5,0,17,12.4,3.2875,8,ab,2,1,0,0.56,320.1904762,6723.88706,2
ARE000039509954,ARE,5.4,6.6,0,11.8,0,30.3,34.1,64.4,23.8,10.3,17.2,0,27.5,7.933333333,1.894444444,18,bab,3,1,0,0.82,466.8571429,9803.835327,1
ARE000005501421,ARE,7.1,6.7,0,38.2,0,17.5,56.5,74,52,4.5,45.3,0,49.8,17.33333333,4.346153846,13,bab,3,1,0,0.61,339,7320.97707,1
ARE000041410436,ARE,28.3,20.9,0,0,0,15.9,50.7,66.6,49.2,1.5,28.3,0,29.8,24.6,6.3375,8,ab,2,1,0,0.19,116.3,2269.021956,1
ARE000041410437,ARE,7.5,4.9,0,22.4,0,16.8,37.9,54.7,34.8,3.1,29.9,0,33,11.6,2.915384615,13,bab,3,1,0,0.62,351.0952381,7372.876159,1
ARE000041410433,ARE,27.6,9.9,0,0,0,5.4,38.3,43.7,37.5,0.8,27.6,0,28.4,18.75,4.7875,8,ab,2,1,0,0.46,282.4,5509.645748,1
