ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD
MAC000002502871,MAC,1.791759469228055,1.3862943611198906,0.0,1.840549633397487,0.0,1.283727105327437,1.49852137512874,1.5695400313619958,1.297534056720424,1.372306733580753,1.2310438717249161,0.0,1.4764977772162966,1.6925528190832573,0.834719078325009,24.0,bab,3.0,1.0,0
MAC000004104600,MAC,2.747270914255491,1.791759469228055,0.0,0.0,0.0,1.4685335327952451,1.5980779663825635,1.6804891598766647,1.3925972252236156,1.496434016604423,1.321027818840691,0.0,1.5772453563789952,2.0193376175658826,1.134086676754531,24.0,aab,3.0,1.0,0
MAC000004104676,MAC,3.5234150143864045,2.341805806147327,0.0,2.9601050959108397,0.0,1.5284269505599697,1.6460822014420085,1.7268671262347213,1.6332837022863056,0.9740533328226523,1.6004138164604336,0.0,1.6159107500488503,2.574137783515943,1.3725641681927814,22.0,abbab,5.0,1.0,0
MAC000004104679,MAC,3.586292865338835,2.312535423847214,0.0,0.0,0.0,1.5425073426347844,1.58672804703686,1.6991598640166576,1.5709251426920794,0.9266593132662122,1.5230720431334746,0.0,1.543586783578356,3.139832617527748,1.9423323277074294,8.0,ab,2.0,1.0,0
MAC000004104637,MAC,3.4436180975461075,2.2407096892759584,0.0,2.91235066461494,0.0,1.4900253090698503,1.6339165244623548,1.7085048502981925,1.6183588258291726,1.008128042731458,1.5863082789234622,0.0,1.6049901851363444,2.7097154804212713,1.4350845252893227,19.0,abab,4.0,1.0,0
MAC000004104689,MAC,3.427514689979529,0.0,3.517497837358316,0.0,0.0,1.5131382945855643,1.6434233345098366,1.7208076810406936,1.639198617767309,0.6288586214346804,1.4878384085642156,1.2386655214002922,1.7193460209147857,3.4735180432417816,2.0001277349601105,10.0,ab,2.0,1.0,0
MAC000004104621,MAC,2.760009940032921,3.258096538021482,0.0,0.0,0.0,1.5676757238140637,1.5545373490427516,1.694913427248905,1.5494080560093084,0.5265890341390446,1.3244216010240857,0.0,1.3406113225148708,3.039749158970765,1.8082887711792655,8.0,ab,2.0,1.0,0
MAC000004104639,MAC,4.037774210733707,3.104586678466073,0.0,0.0,0.0,1.5105668246594022,1.6818994053356533,1.7446402085699997,1.6783497616208911,0.65039140701146,1.616964359683878,0.0,1.6221340453157358,3.676300671907076,2.3807028722579977,8.0,ab,2.0,1.0,0
MAC000004104594,MAC,2.4159137783010487,2.501435951739211,0.0,0.0,0.0,1.5295954163273624,1.6090779880029122,1.7061212140061948,1.4131945252404847,1.5039736763715028,1.228445035063586,0.0,1.5619589416265955,2.4595888418037104,1.5730702681743367,14.0,ab,2.0,1.0,0
MAC000003103602,MAC,2.7788192719904172,2.0014800002101243,0.0,1.8562979903656263,0.0,1.4020178274960418,1.5446596449907881,1.629109571101938,1.465250329774271,1.2711498482847257,1.4031644906713696,0.0,1.506639764180712,2.044461822783809,1.018190721291854,22.0,abab,4.0,1.0,0
MAC000003103553,MAC,3.100092288878234,0.0,3.4111477125153233,0.0,0.0,1.2484412575662103,1.6034785735048491,1.6407200993500939,1.597685483927196,0.65039140701146,1.4110094829394235,1.4008644678998692,1.6883176871199874,3.2676659890376327,1.745239453545543,11.0,ab,2.0,1.0,0
