"","ID","cnt","time_a","time_b1","time_b2","time_start","time_solving","time_total","time_answer","time_irrelevant","time_explore_relevant","time_ticket_explore","time_explore_total","time_avg_explore","time_avg_btw_events","events_num","sequence","length","credit","OECD","ratio","mean","weight","gender"
"5002","NLD000014603624","NLD",2.708050201,2.128231706,0,1.175792346,1.435738227,1.503300998,1.413194525,0.771565867,1.310506186,0,1.346750035,2.459588842,1.373715579,8,"ab",2,1,1,0.57,312.0952381,6739.947143,2
"5003","NLD000015303801","NLD",2.054123734,2.163323026,2.939161922,0.9433672,1.539228784,1.559028211,1.505976903,1.054939769,1.446092993,0,1.490748538,2.468099531,1.133192622,18,"bab",3,1,1,0.69,390.8095238,8206.862151,2
"5004","NLD000003200806","NLD",2.980618636,2.054123734,0,0.981219235,1.46771811,1.499899814,1.453285669,0.689767362,1.381437243,0,1.402017827,2.621038824,1.481604541,8,"ab",2,1,1,0.84,462.1428571,9980.3459,2
"5005","NLD000007501839","NLD",2.406945108,2.041220329,3.572345638,1.283727105,1.648409475,1.681195867,1.601185271,1.314071841,1.573209165,0,1.627803528,2.258284834,1.037524597,36,"babaab",6,1,1,0.65,371.1904762,7794.869071,1
"5006","NLD000007501850","NLD",1.774952351,1.85629799,0,1.268981396,1.317578463,1.4602153,1.231043872,0.966695036,1.020633576,0,1.194705523,1.816452082,0.836853901,11,"ab",2,1,1,0.53,303.2857143,6368.893023,1
"5007","NLD000007501857","NLD",2.602689685,2.602689685,0,1.487838409,1.490748538,1.6313704,1.448822238,1.038348809,1.281680701,0,1.368263662,2.602689685,1.391281903,10,"ab",2,1,1,0.24,132.3809524,2858.872911,1
"5008","NLD000007501840","NLD",1.902107526,2.48490665,0,1.277529177,1.39499465,1.503973676,1.354175179,0.880036196,1.065437206,0,1.188569496,2.235376343,1.091923301,10,"ab",2,1,1,0.76,417.2380952,9010.591527,2
"5009","NLD000009502356","NLD",1.945910149,1.609437912,1.774952351,1.182267877,1.501948135,1.55250366,1.326098161,1.357071686,1.246037086,0,1.472558152,1.786188424,1.017643226,18,"abb",3,1,1,0.37,209.952381,4408.925944,2
"5010","NLD000006801674","NLD",2.809402695,2.041220329,2.272125886,1.303190303,1.516301941,1.585887471,1.496434017,0.869741686,1.442392139,0,1.468533533,2.1690537,1.098612289,17,"abab",4,1,1,0.56,306.4761905,6618.5993,1
"5011","NLD000006801683","NLD",2.965273066,2.091864062,0,1.495732903,1.468533533,1.625492651,1.453285669,0.707848296,1.377574722,0,1.39970434,2.621038824,1.484441422,8,"ab",2,1,1,0.38,218.0952381,4579.923072,2
"5012","NLD000003000747","NLD",1.960094784,1.887069649,2.674148649,1.212195109,1.484881577,1.545193632,1.450620222,0.974053333,1.392597225,0,1.43766302,2.240709689,1.042923383,16,"bab",3,1,1,0.75,411.8571429,8894.385542,1
"5013","NLD000004401113","NLD",2.332143895,1.945910149,1.740466175,1.41855265,1.438618228,1.57812952,1.397363481,0.951362545,1.310506186,0,1.370967991,1.791759469,0.877916719,17,"abab",4,1,1,0.59,334.0952381,7015.882155,2
"5014","NLD000005301303","NLD",3.440418095,3.08190997,0,1.253173156,1.606114998,1.643423335,1.599638801,0.689767362,1.490748538,0,1.502625823,3.277144733,2.026502156,8,"ab",2,1,1,0.64,350.4285714,7567.786242,1
"5015","NLD000005301290","NLD",2.451005098,2.240709689,0,1.268981396,1.39499465,1.501267916,1.38522686,0.462341012,1.238665521,0,1.257806364,2.351375257,1.245594479,8,"ab",2,1,1,0.72,398.2857143,8601.29965,2
"5016","NLD000005301299","NLD",2.261763098,2.360854001,0,1.182267877,1.42884569,1.499899814,1.374957916,1.008128043,1.182267877,0,1.297534057,2.312535424,1.067580179,12,"ab",2,1,1,0.55,310.1904762,6513.890587,2
"5017","NLD000005301315","NLD",1.757857918,1.280933845,2.708050201,1.203615909,1.440514482,1.512498851,1.413194525,0.836525541,1.382708424,0,1.414277969,1.400478996,0.882794778,17,"baaaaab",7,1,1,0.61,347.5238095,7297.877419,2
"5018","NLD000004801211","NLD",2.839078464,2.014903021,2.890371758,1.438618228,1.56292495,1.650703652,1.548363904,0.859075327,1.510566825,1.001648495,1.528426951,2.388762789,1.212271607,18,"abab",4,1,1,0.43,241.7142857,5075.914741,1
"5019","NLD000011302809","NLD",2.272125886,2.163323026,0,1.380157963,1.380157963,1.535325282,1.349752311,0.771565867,1.185439892,0,1.246037086,2.219203484,1.050821625,10,"ab",2,1,1,0.22,121.952381,2633.659541,1
"5020","NLD000014103508","NLD",2.493205453,3.044522438,0,1.315832419,1.514410424,1.587564483,1.497132454,0.82458494,1.250819782,0,1.305042953,2.806386102,1.474763009,10,"ab",2,1,1,0.63,356.6190476,7488.874211,1
"5021","NLD000014103493","NLD",2.557227311,2.587764035,2.332143895,1.322731554,1.582052614,1.635800403,1.513138295,1.295614983,1.411009483,0,1.518793432,2.498699972,1.240659946,19,"abb",3,1,1,0.67,369.4761905,7979.134862,1
"5022","NLD000014103503","NLD",3.258096538,2.261763098,2.815408719,1.312296506,1.607232291,1.65268459,1.592902976,0.935137023,1.554031144,0.82458494,1.571842396,2.58964197,1.33222714,19,"abab",4,1,1,0.58,328.8095238,6904.88402,1
"5023","NLD000014103488","NLD",2.928523524,1.458615023,0,1.293678617,1.44791683,1.539779458,1.408799816,0.951362545,1.368263662,0,1.415355444,2.442347035,1.249901736,10,"ab",2,1,1,0.72,406.2380952,8530.856709,2
"5024","NLD000017504333","NLD",2.041220329,1.740466175,3.139832618,1.233613163,1.528426951,1.580754906,1.513138295,0.812157449,1.480355669,0,1.498521375,2.498699972,1.326870941,13,"bab",3,1,1,0.63,346.2380952,7477.289545,2
"5025","NLD000017504336","NLD",2.208274414,2.844909384,3.230804396,1.343703445,1.618705614,1.666422113,1.590049329,1.147961726,1.505976903,0,1.550446021,2.844909384,1.672051505,13,"bab",3,1,1,0.5,282.1904762,5925.900464,2
"5026","NLD000005601372","NLD",1.667706821,2.312535424,0,1.060242025,1.516301941,1.548363904,1.29943612,1.404304529,0.981219235,0.689767362,1.565791053,2.041220329,1.232143681,14,"ab",2,1,1,0.52,295.0952381,6196.895912,1
"5027","NLD000005401333","NLD",3.377587516,2.32238772,0,1.103567664,1.542507343,1.574565144,1.537008767,0.526589034,1.476497777,0,1.484134908,2.983153491,1.760010771,8,"ab",2,1,1,0.33,186.5238095,3916.934208,1
"5028","NLD000006301541","NLD",1.85629799,2.451005098,3.895893623,1.397363481,1.681665243,1.722615178,1.644314486,1.314071841,1.609444689,0,1.654641413,2.836150204,1.678134444,18,"bbab",4,1,1,0.66,372.7619048,7827.868517,1
