,Unnamed: 0,ID,cnt,time_A_total,time_b1,time_b2,time_B_total,time_start,time_end,time_solving,time_total,time_answer,time_not_answer,time_solving_2,events_num,avg_time_btw_events,sequence,length,credit,OECD
853,854,ARE000012803183,ARE,5.8,3,0,3,36.4,2.9,16,55.3,8.8,7.2,16,14,1.142857143,ab,2,1,0
861,862,ARE000019104904,ARE,8.8,8.9,26.3,35.2,41.9,5.1,114.5,161.5,44,70.5,114.5,20,5.725,bab,3,1,0
869,870,ARE000021405468,ARE,6,11.2,0,11.2,48.8,3.9,125,177.7,17.2,107.8,125,55,2.272727273,ab,2,1,0
914,915,ARE000045811484,ARE,44.5,8.3,0,8.3,31.4,3.2,77.5,112.1,52.8,24.7,77.5,20,3.875,aab,3,1,0
942,943,ARE000023606035,ARE,2.5,7.3,0,7.3,18.3,4.1,84,106.4,9.8,74.2,84,50,1.68,ab,2,1,0
967,968,ARE000023706059,ARE,43.6,13.7,0,13.7,14.5,4.8,58.8,78.1,57.3,1.5,58.8,8,7.35,ab,2,1,0
969,970,ARE000023706055,ARE,32.2,21.8,0,21.8,13.9,3.2,72.5,89.6,54,18.5,72.5,8,9.0625,ab,2,1,0
1010,1011,ARE000040610213,ARE,18.2,16.9,0,16.9,29.5,3.3,55,87.8,35.1,19.9,55,14,3.928571429,ab,2,1,0
1011,1012,ARE000040610220,ARE,21.8,21.6,0,21.6,25.3,6.7,44.8,76.8,43.4,1.4,44.8,8,5.6,ab,2,1,0
1015,1016,ARE000027407004,ARE,18.1,75.7,0,75.7,30.6,4.7,134.2,169.5,93.8,40.4,134.2,17,7.894117647,ab,2,1,0
1022,1023,ARE000036209112,ARE,55,21.1,0,21.1,23.8,2.9,89.4,116.1,76.1,13.3,89.4,12,7.45,ab,2,1,0
1047,1048,ARE000042910781,ARE,5.2,4.5,30.6,35.1,30,5.2,44.8,80,40.3,4.5,44.8,15,2.986666667,bab,3,1,0
1053,1054,AUS000065312202,AUS,24.5,8.8,0,8.8,17.5,2.9,35.3,55.7,33.3,2,35.3,8,4.4125,ab,2,1,1
1054,1055,AUS000065312190,AUS,4.7,6.5,13.7,20.2,17.4,4.2,27.5,49.1,24.9,2.6,27.5,13,2.115384615,bab,3,1,1
1055,1056,AUS000018403450,AUS,21.2,5.6,0,5.6,7.7,2,27.9,37.6,26.8,1.1,27.9,8,3.4875,ab,2,1,1
1059,1060,AUS000013902597,AUS,6.7,4.7,33.7,38.4,15.2,3.1,67.8,86.1,45.1,22.7,67.8,20,3.39,bab,3,1,1
1063,1064,AUS000072413486,AUS,20.7,13.8,0,13.8,11.4,2.5,35.9,49.8,34.5,1.4,35.9,8,4.4875,ab,2,1,1
1065,1066,AUS000014602748,AUS,10.3,14.6,0,14.6,9.7,3.9,25.6,39.2,24.9,0.7,25.6,8,3.2,ab,2,1,1
1067,1068,AUS000004400849,AUS,3.4,6.9,5.7,12.6,18.2,6.8,31.3,56.3,16,15.3,31.3,20,1.565,bab,3,1,1
1070,1071,AUS000068912889,AUS,23.8,10,0,10,13.1,4.3,36,53.4,33.8,2.2,36,11,3.272727273,ab,2,1,1
1072,1073,AUS000070313133,AUS,20.3,7.2,7.8,15,8.7,4.2,40.8,53.7,35.3,5.5,40.8,19,2.147368421,abab,4,1,1
1085,1086,AUS000077014373,AUS,7,5.3,17.2,22.5,31.1,2.8,33.1,67,29.5,3.6,33.1,16,2.06875,bab,3,1,1
1089,1090,AUS000016203034,AUS,31,11,0,11,35,4.5,45.2,84.7,42,3.2,45.2,12,3.766666667,aaaaab,6,1,1
1090,1091,AUS000016203039,AUS,8.6,10,0,10,18.8,2.5,23.5,44.8,18.6,4.9,23.5,11,2.136363636,ab,2,1,1
1094,1095,AUS000048609011,AUS,12.3,7.3,0,7.3,15.5,5.3,20.8,41.6,19.6,1.2,20.8,8,2.6,ab,2,1,1
1095,1096,AUS000048609015,AUS,7,4,15.7,19.7,17.4,4,29.1,50.5,26.7,2.4,29.1,13,2.238461538,bab,3,1,1
1104,1105,AUS000005401039,AUS,6.8,13.3,12.7,26,13.5,3.3,36.9,53.7,32.8,4.1,36.9,18,2.05,bbab,4,1,1
