stu_id,sequence,length
AUS000020703837,abb,3.0
AUS000047908880,bab,3.0
AUS000047908874,b,1.0
AUS000012802387,b,1.0
AUS000040407473,a,1.0
AUS000040407478,b,1.0
AUS000002000371,abab,4.0
AUS000002000375,bab,3.0
AUS000015402900,ab,2.0
AUS000015402894,a,1.0
AUS000035506587,abab,4.0
AUS000035506596,abab,4.0
AUS000035506593,b,1.0
AUS000075114056,bab,3.0
AUS000075114047,abab,4.0
AUS000065512249,ab,2.0
AUS000065512250,b,1.0
AUS000065512253,ab,2.0
AUS000065512242,bab,3.0
AUS000002900558,ab,2.0
AUS000002900556,bab,3.0
AUS000002900557,ab,2.0
AUS000040707525,a,1.0
AUS000051809623,abab,4.0
AUS000051809632,abab,4.0
AUS000026804980,bab,3.0
AUS000030505688,bab,3.0
AUS000030505687,abab,4.0
AUS000036606762,b,1.0
AUS000011702173,ab,2.0
AUS000011702175,ab,2.0
AUS000050409370,abab,4.0
AUS000065112152,a,1.0
AUS000031305809,ba,2.0
AUS000027105048,abab,4.0
AUS000027105039,bb,2.0
AUS000057910779,abab,4.0
AUS000054410138,b,1.0
AUS000019803687,ab,2.0
AUS000019803675,a,1.0
AUS000031905937,bab,3.0
AUS000031905931,ab,2.0
AUS000031905928,ab,2.0
AUS000056110438,b,1.0
AUS000056110435,b,1.0
AUS000010902029,b,1.0
AUS000010902034,aa,2.0
AUS000012902406,b,1.0
AUS000076814349,bab,3.0
AUS000035706625,b,1.0
AUS000028805374,b,1.0
AUS000028805369,ab,2.0
AUS000050209343,abab,4.0
AUS000050209336,ab,2.0
AUS000050209339,abab,4.0
AUS000047708831,bab,3.0
AUS000047708830,a,1.0
AUS000047708841,b,1.0
AUS000047708833,ab,2.0
AUS000040307455,a,1.0
AUS000040307463,b,1.0
AUS000040307461,ab,2.0
AUS000040307468,b,1.0
AUS000049209157,a,1.0
AUS000049209151,b,1.0
AUS000006801281,b,1.0
AUS000029205442,b,1.0
AUS000047408766,b,1.0
AUS000023404317,b,1.0
AUS000023404320,ab,2.0
AUS000011102064,b,1.0
AUS000008001507,b,1.0
AUS000008001513,ab,2.0
AUS000035606604,b,1.0
AUS000035606607,a,1.0
AUS000035606613,ab,2.0
AUS000039207240,bab,3.0
AUS000077414452,abab,4.0
AUS000041407640,b,1.0
AUS000041407655,abbab,5.0
AUS000041407644,ab,2.0
AUS000014202664,abab,4.0
AUS000014202661,abab,4.0
AUS000014202651,b,1.0
AUS000061711506,b,1.0
AUS000061711503,bab,3.0
AUS000061711511,b,1.0
AUS000024504523,bbab,4.0
AUS000028905400,b,1.0
AUS000028905390,bab,3.0
AUS000028905391,a,1.0
AUS000066612465,abb,3.0
AUS000074513928,b,1.0
AUS000036406726,bab,3.0
AUS000036406714,ab,2.0
AUS000055010231,bab,3.0
AUS000026404908,b,1.0
AUS000026404903,ab,2.0
AUS000026404915,abab,4.0
AUS000026404911,abab,4.0
AUS000046308585,ab,2.0
AUS000046308583,bbabb,5.0
AUS000046308574,ab,2.0
AUS000010802015,abab,4.0
AUS000051609584,ab,2.0
AUS000051609594,bab,3.0
AUS000048709025,abab,4.0
AUS000048709029,abab,4.0
AUS000048709035,bab,3.0
AUS000048709022,ab,2.0
AUS000076514284,ab,2.0
AUS000076514292,a,1.0
AUS000076514291,bab,3.0
AUS000076514290,abab,4.0
AUS000062111587,ab,2.0
AUS000062111574,abab,4.0
AUS000053609965,abab,4.0
AUS000063611859,abab,4.0
AUS000063611852,a,1.0
AUS000063611851,ab,2.0
AUS000067712646,baab,4.0
AUS000067712648,ab,2.0
AUS000067712649,b,1.0
AUS000054210076,b,1.0
AUS000054210067,b,1.0
AUS000000100008,bab,3.0
AUS000000100005,bab,3.0
AUS000018503481,ab,2.0
AUS000018503477,ab,2.0
AUS000018503485,ab,2.0
AUS000018503476,b,1.0
AUS000012602353,b,1.0
AUS000009901860,ab,2.0
AUS000037006825,ab,2.0
AUS000037006838,bb,2.0
AUS000034406385,bb,2.0
AUS000034406393,b,1.0
AUS000067212578,bab,3.0
AUS000053309898,abab,4.0
AUS000038307091,b,1.0
AUS000038307095,ab,2.0
AUS000012502325,ab,2.0
AUS000012502331,ab,2.0
AUS000012502336,abb,3.0
AUS000057310668,abab,4.0
AUS000057310674,babb,4.0
AUS000073613749,b,1.0
AUS000073613738,a,1.0
AUS000073613739,b,1.0
AUS000074613943,bab,3.0
AUS000074613944,ab,2.0
AUS000049509203,a,1.0
AUS000054710189,ab,2.0
AUS000054710169,bab,3.0
AUS000026304885,ab,2.0
AUS000026304890,bab,3.0
AUS000070813207,ab,2.0
AUS000070813208,b,1.0
AUS000070813224,ab,2.0
AUS000054810204,ba,2.0
AUS000048208916,bab,3.0
AUS000048208905,abab,4.0
AUS000027805191,abab,4.0
AUS000027805198,a,1.0
AUS000027805210,a,1.0
AUS000050509401,bab,3.0
AUS000050509390,b,1.0
AUS000024704565,a,1.0
AUS000057810757,bab,3.0
AUS000039507311,b,1.0
AUS000060611298,b,1.0
AUS000060611299,bb,2.0
AUS000005601082,ab,2.0
AUS000052809815,a,1.0
AUS000022004075,babb,4.0
AUS000022004067,b,1.0
AUS000022004062,a,1.0
AUS000020903878,ab,2.0
AUS000049109117,b,1.0
AUS000028005229,a,1.0
AUS000048809049,b,1.0
AUS000045708476,aa,2.0
AUS000063111767,abab,4.0
AUS000065412220,baa,3.0
AUS000065412233,b,1.0
AUS000065412229,b,1.0
AUS000037306878,b,1.0
AUS000008901666,ab,2.0
AUS000008901653,ab,2.0
AUS000018003392,abab,4.0
AUS000061911541,ababb,5.0
AUS000052609788,aba,3.0
AUS000053509942,a,1.0
AUS000053509951,ab,2.0
AUS000041307633,b,1.0
AUS000060811330,b,1.0
AUS000060811332,ab,2.0
AUS000036006674,abaab,5.0
